pickup_year,pickup_month,pickup_day,pickup_dayofweek,pickup_time,pickup_location_code,dropoff_location_code,trip_distance,trip_length,fees_amount,tolls_amount,tip_amount,total_amount,payment_type
2016,1,1,5,0,2,4,21,2037,0.8,5.54,11.65,69.99,1
2016,1,1,5,0,2,1,16.29,1520,1.3,0,8,54.3,1
2016,1,1,5,0,2,6,12.7,1462,1.3,0,0,37.8,2
2016,1,1,5,0,2,6,8.7,1210,1.3,0,5.46,32.76,1
2016,1,1,5,0,2,6,5.56,759,1.3,0,0,18.8,2
2016,1,1,5,0,4,2,21.45,2004,0.8,0,52.8,105.6,1
2016,1,1,5,0,2,6,8.45,927,1.3,0,6.45,32.25,1
2016,1,1,5,0,2,6,7.3,731,1.3,0,0,22.8,2
2016,1,1,5,0,2,5,36.3,2562,0.8,11.08,10,131.38,1
2016,1,1,5,0,6,2,12.46,1351,1.3,0,0,37.3,2
2016,1,1,5,1,4,2,16.6,1467,0.8,5.54,0,58.34,2
2016,1,1,5,1,6,3,5.23,854,1.3,0,0,18.3,2
2016,1,1,5,1,2,4,18.06,1588,0.8,5.54,11.67,70.01,1
2016,1,1,5,1,4,2,16.3,1484,0.8,5.54,0,58.34,2
2016,1,1,5,1,4,3,7.97,815,1.3,5.54,6.07,36.41,1
2016,1,1,5,1,4,3,12.09,1265,1.3,5.54,10.08,50.42,1
2016,1,1,5,1,2,4,17.3,1588,0.8,5.54,0,58.34,2
2016,1,1,5,1,2,1,13.74,2304,1.3,0,5,48.3,1
2016,1,1,5,1,4,2,17.57,1654,0.8,5.54,0,58.34,2
2016,1,1,5,1,4,3,9.5,1299,1.3,0,5.96,35.76,1
2016,1,1,5,1,4,3,9.3,1125,1.3,0,8.45,36.75,1
2016,1,1,5,1,4,3,10.1,1274,1.3,5.54,5,41.84,1
2016,1,1,5,1,2,4,20.57,1834,0.8,5.54,0,58.34,2
2016,1,1,5,1,4,3,7.9,873,0.8,5.54,0,29.84,2
2016,1,1,5,1,4,2,17.33,1561,0.8,0,10.56,63.36,1
2016,1,1,5,1,4,2,20.34,1860,0.8,5.54,11.67,70.01,1
2016,1,1,5,1,2,2,2.15,488,0.8,0,0,9.8,2
2016,1,1,5,1,2,1,9.51,1181,0.8,0,5.56,33.36,1
2016,1,1,5,1,2,6,8.09,986,0.8,0,3.7,29,1
2016,1,1,5,1,4,3,7.8,1134,0.8,0,0,24.8,2
